Date,Instrument Name,Order or RfQ Received,Order or RfQ Cancelled/Withdrawn,Order or RfQ Modified,Transactions Executed, Total Value of Transactions Executed ,Median Transaction Size,Median Size of All Orders or RfQ
2019-04-23T00:00:00.000Z,WTI Crude Oil Commodity CFD,12,0,0,3," 16,574.00 ",100,55
2019-04-23T00:00:00.000Z,Brent Oil Commodity CFD,1,0,0,0, -   ,,100
2019-04-23T00:00:00.000Z,Gold Commodity CFD - Future,1,0,0,0, -   ,,1
2019-04-24T00:00:00.000Z,WTI Crude Oil Commodity CFD,4,0,0,0, -   ,,25
2019-04-25T00:00:00.000Z,WTI Crude Oil Commodity CFD,26,0,0,15," 18,894.40 ",20,15
2019-04-25T00:00:00.000Z,Brent Oil Commodity CFD,1,0,0,0, -   ,,30
2019-04-26T00:00:00.000Z,WTI Crude Oil Commodity CFD,15,0,0,0, -   ,,30
2019-04-26T00:00:00.000Z,Brent Oil Commodity CFD,2,0,0,0, -   ,,10
2019-04-29T00:00:00.000Z,WTI Crude Oil Commodity CFD,1,0,0,0, -   ,,10
2019-04-30T00:00:00.000Z,WTI Crude Oil Commodity CFD,10,0,0,1," 3,207.50 ",50,10
2019-04-30T00:00:00.000Z,Brent Oil Commodity CFD,1,0,0,0, -   ,,50
2019-05-01T00:00:00.000Z,WTI Crude Oil Commodity CFD,5,0,0,2," 4,463.90 ",35,30
2019-05-02T00:00:00.000Z,Gold Commodity CFD,4,0,0,0, -   ,,1
2019-05-02T00:00:00.000Z,WTI Crude Oil Commodity CFD,3,0,0,0, -   ,,1000
2019-05-03T00:00:00.000Z,Gold Commodity CFD - Future,1,0,0,0, -   ,,1
2019-05-06T00:00:00.000Z,WTI Crude Oil Commodity CFD,1,0,0,0, -   ,,10
2019-05-10T00:00:00.000Z,Palladium Commodity CFD,1,0,0,0, -   ,,5
2019-05-13T00:00:00.000Z,Wheat Commodity CFD,1,0,0,0, -   ,,2
2019-05-14T00:00:00.000Z,US Soybean Commodity CFD,2,0,0,2," 2,461.30 ",2.5,2.5
2019-05-14T00:00:00.000Z,Palladium Commodity CFD,1,0,0,1," 1,309.10 ",1,1
2019-05-16T00:00:00.000Z,Brent Oil Commodity CFD,1,0,0,0, -   ,,100
2019-05-16T00:00:00.000Z,WTI Crude Oil Commodity CFD,1,0,0,0, -   ,,100
2019-05-17T00:00:00.000Z,WTI Crude Oil Commodity CFD,2,0,0,0, -   ,,15
2019-05-17T00:00:00.000Z,Gold Commodity CFD,1,0,0,1," 2,556.78 ",2,2
2019-05-20T00:00:00.000Z,Brent Oil Commodity CFD,4,0,0,0, -   ,,20
2019-05-20T00:00:00.000Z,WTI Crude Oil Commodity CFD,3,0,0,0, -   ,,10
2019-05-20T00:00:00.000Z,Gold Commodity CFD - Future,1,0,0,0, -   ,,1
2019-05-20T00:00:00.000Z,Silver Commodity CFD,1,0,0,0, -   ,,100
2019-05-21T00:00:00.000Z,WTI Crude Oil Commodity CFD,9,0,0,2," 8,851.20 ",70,20
2019-05-21T00:00:00.000Z,Brent Oil Commodity CFD,1,0,0,0, -   ,,200
2019-05-21T00:00:00.000Z,Cocoa Commodity CFD,1,0,0,0, -   ,,1
2019-05-21T00:00:00.000Z,Gold Commodity CFD,1,0,0,0, -   ,,2
2019-05-21T00:00:00.000Z,Gold Commodity CFD - Future,1,0,0,1," 1,272.41 ",1,1
2019-05-21T00:00:00.000Z,Natural Gas Commodity CFD,1,0,0,0, -   ,,1000
2019-05-21T00:00:00.000Z,Palladium Commodity CFD,1,0,0,0, -   ,,3
2019-05-22T00:00:00.000Z,WTI Crude Oil Commodity CFD,3,0,0,1," 8,149.70 ",130,100
2019-05-22T00:00:00.000Z,Brent Oil Commodity CFD,1,0,0,0, -   ,,20
2019-05-23T00:00:00.000Z,Brent Oil Commodity CFD,9,0,0,0, -   ,,20
2019-05-23T00:00:00.000Z,WTI Crude Oil Commodity CFD,2,0,0,0, -   ,,25
2019-05-23T00:00:00.000Z,Gold Commodity CFD,1,0,0,0, -   ,,1
2019-05-28T00:00:00.000Z,Silver Commodity CFD - Future,1,0,0,0, -   ,,200
2019-05-30T00:00:00.000Z,Natural Gas Commodity CFD,2,0,0,0, -   ,,200
2019-05-30T00:00:00.000Z,Gold Commodity CFD - Future,1,0,0,0, -   ,,2
2019-05-31T00:00:00.000Z,Gold Commodity CFD,6,0,0,0, -   ,,1.5
2019-05-31T00:00:00.000Z,Gold Commodity CFD - Future,7,0,0,0, -   ,,2
2019-05-31T00:00:00.000Z,Natural Gas Commodity CFD,3,0,0,0, -   ,,200
2019-05-31T00:00:00.000Z,Silver Commodity CFD - Future,2,0,0,0, -   ,,100
2019-06-02T00:00:00.000Z,Gold Commodity CFD - Future,1,0,0,0, -   ,,1
2019-06-02T00:00:00.000Z,Gold Commodity CFD,1,0,0,0, -   ,,5
2019-06-03T00:00:00.000Z,Gold Commodity CFD - Future,7,0,0,0, -   ,,1
2019-06-03T00:00:00.000Z,Gold Commodity CFD,3,0,0,0, -   ,,2
2019-06-03T00:00:00.000Z,Brent Oil Commodity CFD,1,0,0,0, -   ,,100
2019-06-04T00:00:00.000Z,Gold Commodity CFD,5,0,0,0, -   ,,1
2019-06-04T00:00:00.000Z,Gold Commodity CFD - Future,3,0,0,0, -   ,,5
2019-06-05T00:00:00.000Z,Gold Commodity CFD,2,0,0,0, -   ,,3
2019-06-06T00:00:00.000Z,WTI Crude Oil Commodity CFD,6,0,0,6," 103,515.00 ",360,360
2019-06-06T00:00:00.000Z,Gold Commodity CFD,1,0,0,0, -   ,,10
2019-06-06T00:00:00.000Z,Gold Commodity CFD - Future,1,0,0,0, -   ,,5
2019-06-07T00:00:00.000Z,Cotton Commodity CFD,42,0,0,0, -   ,,10
2019-06-07T00:00:00.000Z,Gold Commodity CFD - Future,3,0,0,0, -   ,,5
2019-06-07T00:00:00.000Z,Gold Commodity CFD,1,0,0,0, -   ,,5
2019-06-10T00:00:00.000Z,Cotton Commodity CFD,14,0,0,0, -   ,,10
2019-06-10T00:00:00.000Z,Gold Commodity CFD - Future,1,0,0,0, -   ,,1
2019-06-10T00:00:00.000Z,Natural Gas Commodity CFD,1,0,0,0, -   ,,100
2019-06-10T00:00:00.000Z,WTI Crude Oil Commodity CFD,1,0,0,0, -   ,,30
2019-06-11T00:00:00.000Z,Gold Commodity CFD,4,0,0,0, -   ,,1.5
2019-06-11T00:00:00.000Z,Gold Commodity CFD - Future,3,0,0,0, -   ,,1
2019-06-11T00:00:00.000Z,Palladium Commodity CFD,1,0,0,0, -   ,,10
2019-06-12T00:00:00.000Z,Gold Commodity CFD,3,0,0,0, -   ,,2
2019-06-12T00:00:00.000Z,Gold Commodity CFD - Future,2,0,0,0, -   ,,1.5
2019-06-13T00:00:00.000Z,WTI Crude Oil Commodity CFD,4,0,0,1," 25,450.00 ",500,10
2019-06-13T00:00:00.000Z,Gold Commodity CFD,3,0,0,0, -   ,,1
2019-06-13T00:00:00.000Z,Gold Commodity CFD - Future,1,0,0,0, -   ,,3
2019-06-14T00:00:00.000Z,Cotton Commodity CFD,14,0,0,0, -   ,,10
2019-06-14T00:00:00.000Z,Gold Commodity CFD - Future,2,0,0,0, -   ,,1
2019-06-17T00:00:00.000Z,Cotton Commodity CFD,14,0,0,0, -   ,,10
2019-06-17T00:00:00.000Z,Gold Commodity CFD,8,0,0,1," 1,338.00 ",1,1.5
2019-06-17T00:00:00.000Z,Gold Commodity CFD - Future,4,0,0,2," 4,011.00 ",1.5,2
2019-06-17T00:00:00.000Z,Silver Commodity CFD,2,0,0,2," 4,455.90 ",150,150
2019-06-17T00:00:00.000Z,Platinum Commodity CFD,1,0,0,0, -   ,,10
2019-06-17T00:00:00.000Z,US Soybean Commodity CFD,1,0,0,0, -   ,,2
2019-06-18T00:00:00.000Z,Cotton Commodity CFD,28,0,0,0, -   ,,10
2019-06-18T00:00:00.000Z,Gold Commodity CFD - Future,6,0,0,2," 4,027.29 ",1.5,1
2019-06-18T00:00:00.000Z,Natural Gas Commodity CFD,2,0,0,0, -   ,,350
2019-06-18T00:00:00.000Z,Gold Commodity CFD,1,0,0,0, -   ,,1
2019-06-19T00:00:00.000Z,Gold Commodity CFD - Future,6,0,0,0, -   ,,2
2019-06-19T00:00:00.000Z,Gold Commodity CFD,3,0,0,0, -   ,,1
2019-06-19T00:00:00.000Z,Natural Gas Commodity CFD,2,0,0,0, -   ,,150
2019-06-19T00:00:00.000Z,Cotton Commodity CFD,1,0,0,1, 656.10 ,10,10
2019-06-19T00:00:00.000Z,Silver Commodity CFD - Future,1,0,0,0, -   ,,100
2019-06-20T00:00:00.000Z,Cotton Commodity CFD,56,0,0,0, -   ,,10
2019-06-20T00:00:00.000Z,Gold Commodity CFD - Future,12,0,0,0, -   ,,1
2019-06-20T00:00:00.000Z,Gold Commodity CFD,6,0,0,0, -   ,,1.5
2019-06-20T00:00:00.000Z,Silver Commodity CFD,1,0,0,0, -   ,,100
2019-06-20T00:00:00.000Z,WTI Crude Oil Commodity CFD,1,0,0,0, -   ,,1000
2019-06-21T00:00:00.000Z,Cotton Commodity CFD,14,0,0,0, -   ,,10
2019-06-21T00:00:00.000Z,Gold Commodity CFD,1,0,0,0, -   ,,1
2019-06-21T00:00:00.000Z,Gold Commodity CFD - Future,1,0,0,0, -   ,,1
2019-06-25T00:00:00.000Z,Gold Commodity CFD,4,0,0,1," 1,432.50 ",1,1
2019-06-26T00:00:00.000Z,Cotton Commodity CFD,13,0,0,0, -   ,,10
2019-06-27T00:00:00.000Z,Cotton Commodity CFD,15,0,0,0, -   ,,10
2019-06-27T00:00:00.000Z,Gold Commodity CFD - Future,1,0,0,0, -   ,,1
2019-06-28T00:00:00.000Z,Wheat Commodity CFD,5,0,0,0, -   ,,1
2019-07-01T00:00:00.000Z,Cotton Commodity CFD,29,0,0,0, -   ,,10
2019-07-01T00:00:00.000Z,Copper High Grade Commodity CFD,9,0,0,0, -   ,,100
2019-07-01T00:00:00.000Z,Gold Commodity CFD - Future,5,0,0,0, -   ,,1
2019-07-01T00:00:00.000Z,Coffee Commodity CFD,2,0,0,0, -   ,,15
2019-07-01T00:00:00.000Z,Gold Commodity CFD,1,0,0,0, -   ,,1
2019-07-01T00:00:00.000Z,WTI Crude Oil Commodity CFD,1,0,0,0, -   ,,10
2019-07-02T00:00:00.000Z,Copper High Grade Commodity CFD,14,0,0,0, -   ,,100
2019-07-02T00:00:00.000Z,Cotton Commodity CFD,14,0,0,0, -   ,,10
2019-07-02T00:00:00.000Z,Coffee Commodity CFD,1,0,0,0, -   ,,20
2019-07-02T00:00:00.000Z,Gold Commodity CFD - Future,1,0,0,0, -   ,,1
2019-07-02T00:00:00.000Z,Natural Gas Commodity CFD,1,0,0,1," 1,120.00 ",500,500
2019-07-03T00:00:00.000Z,Copper High Grade Commodity CFD,14,0,0,0, -   ,,100
2019-07-03T00:00:00.000Z,Coffee Commodity CFD,1,0,0,0, -   ,,10
2019-07-03T00:00:00.000Z,Gold Commodity CFD - Future,1,0,0,0, -   ,,2
2019-07-03T00:00:00.000Z,Natural Gas Commodity CFD,1,0,0,0, -   ,,500
2019-07-03T00:00:00.000Z,WTI Crude Oil Commodity CFD,1,0,0,1," 448,880.00 ",8000,8000
2019-07-04T00:00:00.000Z,Gold Commodity CFD - Future,1,0,0,0, -   ,,2
2019-07-05T00:00:00.000Z,Copper High Grade Commodity CFD,14,0,0,0, -   ,,100
2019-07-05T00:00:00.000Z,Coffee Commodity CFD,3,0,0,0, -   ,,20
2019-07-05T00:00:00.000Z,Gold Commodity CFD - Future,2,0,0,1," 1,391.52 ",1,1
2019-07-05T00:00:00.000Z,Gold Commodity CFD,1,0,0,0, -   ,,5
2019-07-08T00:00:00.000Z,Cotton Commodity CFD,14,0,0,0, -   ,,10
2019-07-08T00:00:00.000Z,US Sugar Commodity CFD,1,0,0,0, -   ,,200
2019-07-09T00:00:00.000Z,Cotton Commodity CFD,56,0,0,0, -   ,,10
2019-07-09T00:00:00.000Z,Copper High Grade Commodity CFD,28,0,0,0, -   ,,100
2019-07-09T00:00:00.000Z,Gold Commodity CFD,4,0,0,0, -   ,,3
2019-07-09T00:00:00.000Z,Gold Commodity CFD - Future,3,0,0,0, -   ,,1
2019-07-10T00:00:00.000Z,Gold Commodity CFD,5,0,0,4," 58,261.41 ",10.5,9
2019-07-10T00:00:00.000Z,Gold Commodity CFD - Future,4,0,0,0, -   ,,2
2019-07-10T00:00:00.000Z,Silver Commodity CFD - Future,1,0,0,0, -   ,,100
2019-07-10T00:00:00.000Z,WTI Crude Oil Commodity CFD,1,0,0,1," 176,430.00 ",3000,3000
2019-07-11T00:00:00.000Z,Brent Oil Commodity CFD,4,0,0,0, -   ,,30
2019-07-11T00:00:00.000Z,Gold Commodity CFD,2,0,0,0, -   ,,1.5
